,기업명,PER,EPS,PER(krx),EPS(krx),추정PER,추정EPS,PBR,BPS,배당수익률,이자보상배율,유동비율
265520,AP시스템,15.35,"1,651",13.99,"1,812",18.00,"1,445",3.61,"7,015",0.59,8.1,97
263770,유에스티,90.00,49,86.47,51,N/A,N/A,2.36,"1,865",N/A,5.8,190.9
063760,이엘피,4.32,"3,023",4.32,"3,022",N/A,N/A,0.93,"14,032",1.15,N/A,631.6
264450,유비쿼스,16.39,"2,905",16.38,"2,906",N/A,N/A,3.04,"15,637",1.26,N/A,283.1
178320,서진시스템,14.17,"1,941",13.64,"2,016",N/A,N/A,2.30,"11,982",0.73,13.7,88.1
183300,코미코,8.59,"3,363",8.59,"3,363",N/A,N/A,2.70,"10,722",1.38,7.7,241.5
246720,아스타,-29.22,-243,N/A,N/A,N/A,N/A,2.75,"2,584",N/A,N/A,398.8
145720,덴티움,23.23,"3,095",18.10,"3,972",20.00,"3,682",3.19,"22,506",0.21,16.7,108.5
262830,대신밸런스제4호스팩,208.50,10,N/A,N/A,N/A,N/A,1.08,"1,928",N/A,N/A,N/A
217480,에스디생명공학,19.85,401,19.85,401,N/A,N/A,1.60,"4,977",1.88,3.7,364.6
002800,신신제약,37.43,191,37.43,191,N/A,N/A,1.99,"3,595",0.46,11.6,181.3
083500,에프엔에스테크,12.53,463,12.31,471,N/A,N/A,0.94,"6,191",N/A,N/A,200.9
087260,모바일어플라이언스,50.74,136,50.74,136,N/A,N/A,3.30,"2,090",2.41,0.3,172
257730,신한제3호스팩,190.00,12,N/A,N/A,N/A,N/A,1.23,"1,850",N/A,N/A,N/A
241820,피씨엘,-15.17,-646,N/A,N/A,N/A,N/A,8.99,"1,090",N/A,N/A,209.9
111110,호전실업,24.32,555,22.92,589,N/A,N/A,0.87,"15,468",1.85,N/A,125
140070,서플러스글로벌,4.74,546,4.68,553,N/A,N/A,0.76,"3,409",1.54,8.3,320.1
206650,유바이오로직스,53.38,145,51.26,151,N/A,N/A,8.23,940,N/A,114.1,61.2
256840,엔에이치스팩11호,94.35,23,N/A,N/A,N/A,N/A,1.10,"1,975",N/A,N/A,N/A
195440,퓨전데이타,-1.59,-521,N/A,N/A,N/A,N/A,36.04,23,N/A,N/A,122.6
241520,DSC인베스트먼트,12.92,303,12.96,302,N/A,N/A,2.28,"1,717",N/A,N/A,N/A
246690,TS인베스트먼트,12.19,185,12.19,185,N/A,N/A,1.80,"1,256",0.89,N/A,N/A
147760,마이크로프랜드,-25.44,-172,N/A,N/A,N/A,N/A,1.03,"4,256",N/A,3,209.1
204990,현성바이탈,-0.89,"-2,223",N/A,N/A,N/A,N/A,1.16,"1,708",8.89,N/A,395
